,N,CV,shape_parameter,scale_parameter,MeanTimeScale,VarTimeScale,MeanWeibull,VarWeibull,diff,diff_mean,diff_var
0,15,0.15,7.906529168032986,1.0743111196275152,1.0111874208078342,0.02300625,1.0111870279181552,0.02300645283001107,5.957196900843731e-07,3.928896790128533e-07,2.0283001107151977e-07
1,15,0.3,3.7137513938778595,1.156644213963071,1.044030650891055,0.09809999999999999,1.044030782985001,0.0980999953558679,1.3673807809644334e-07,1.3209394600366409e-07,4.644132092779252e-09
2,15,0.5,2.1013490768579275,1.2623312366932757,1.118033988749895,0.31250000000000006,1.1180339814913804,0.31250000070594436,7.964458759168735e-09,7.25851445615433e-09,7.059443030144052e-10
