,N,CV,shape_parameter,scale_parameter,MeanLogScale,VarLogScale,MeanWeibull,VarWeibull,diff,diff_mean,diff_var
0,15,0.15,7.906924265775673,1.062466408811014,1.0,0.0225,0.9999999814708809,0.02250006446923442,8.299835354760865e-08,1.8529119127919103e-08,6.446923441968955e-08
1,15,0.3,3.713772390158953,1.1078638656698663,1.0,0.09,0.9999999988178014,0.08999999874999501,2.4322035496737726e-09,1.1821985612670005e-09,1.250004988406772e-09
2,15,0.5,2.1013488127891664,1.1290632634554316,1.0,0.25,0.9999999170977636,0.25000001764938123,1.0055161764332965e-07,8.290223640905481e-08,1.764938123427484e-08
